handle,title,price_ghs,in_stock,categories,image_file,proposed_requires_prescription,confidence,rule,pharmacist_decision,pharmacist_notes
amlodipine-5mg-tenox,AMLODIPINE 5MG (TENOX),3.00,yes,,amlodipine-5mg-tenox.jpg,YES,high,prescription-only active: amlodipin,,
amlodipine-5mg-tabs-teva,AMLODIPINE 5MG TABS TEVA,16.00,yes,,amlodipine-5mg-tabs-teva.jpg,YES,high,prescription-only active: amlodipin,,
amoksiclav-228-suspension,AMOKSICLAV 228 SUSPENSION,86.00,yes,,amoksiclav-228-suspension.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
amoksiclav-457-susp,AMOKSICLAV 457 SUSP.,64.00,yes,,amoksiclav-457-susp.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
amoksiklav-1g-tab,AMOKSIKLAV 1G TAB,130.00,yes,,amoksiklav-1g-tab.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
amoksiklav-625mg-tabs,AMOKSIKLAV 625MG TABS,70.00,yes,,amoksiklav-625mg-tabs.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
amoxicillin-250mg-maxmox-500s,AMOXICILLIN 250MG (MAXMOX) 500S,0.40,yes,,amoxicillin-250mg-maxmox-500s.jpg,YES,high,prescription-only active: amoxicill,,
amoxicillin-500mg-caps-exeter,AMOXICILLIN 500MG CAPS (EXETER,39.00,yes,,amoxicillin-500mg-caps-exeter.jpg,YES,high,prescription-only active: amoxicill,,
amoxicillin-500mg-caps-maxmox-15s,AMOXICILLIN 500MG CAPS (MAXMOX) 15'S,15.00,yes,,amoxicillin-500mg-caps-maxmox-15s.png,YES,high,prescription-only active: amoxicill,,
amoxicillin-susp-125mg-5ml-exeter,AMOXICILLIN SUSP 125MG/5ML (EXETER),19.00,yes,,,YES,high,prescription-only active: amoxicill,,
amoxylex-susp-luex,AMOXYLEX SUSP (LUEX),16.00,yes,,amoxylex-susp-luex.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
andrews-liver-salt,ANDREWS LIVER SALT,3.00,yes,,andrews-liver-salt.jpg,NO,low,REVIEW — no category and no dosage form,,
anti-fungal-foot-power,ANTI FUNGAL FOOT POWER,80.00,yes,Other,anti-fungal-foot-power.jpg,NO,medium,consumer category: Other,,
antibacterial-wipes-nuvomed,ANTIBACTERIAL WIPES NUVOMED,25.00,yes,Other,antibacterial-wipes-nuvomed.jpg,NO,high,general-sale: wipes,,
anusol-ointment-25g,ANUSOL OINTMENT 25G,130.00,yes,,anusol-ointment-25g.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
apetamin-syrup,APETAMIN SYRUP,50.00,yes,,apetamin-syrup.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
apple-cider-tumeric-ginger-and-pepper-supplement-60s,"APPLE CIDER+TUMERIC,GINGER AND PEPPER SUPPLEMENT 60S",90.00,yes,Vitamins & Supplements,apple-cider-tumeric-ginger-and-pepper-supplement-60s.jpg,NO,medium,consumer category: Vitamins & Supplements,,
aptamil-1,APTAMIL 1,345.00,yes,Baby,aptamil-1.png,NO,medium,consumer category: Baby,,
aptamil-2,APTAMIL 2,270.00,yes,Baby,aptamil-2.jpg,NO,medium,consumer category: Baby,,
aptamil-2-uk,APTAMIL 2 (UK),345.00,yes,Baby,aptamil-2-uk.jpg,NO,medium,consumer category: Baby,,
aptamil-3,APTAMIL 3,345.00,yes,Baby,aptamil-3.jpg,NO,medium,consumer category: Baby,,
aptamil-ready-to-feed,APTAMIL READY TO FEED,35.00,yes,Baby,aptamil-ready-to-feed.png,NO,medium,consumer category: Baby,,
aquatab-67mg-10s,AQUATAB 67MG 10S,73.00,yes,Other,aquatab-67mg-10s.jpg,YES,low,"REVIEW — dosage form, active not recognised",,
arfan-20-120-tabs,ARFAN 20/120 TABS,6.00,yes,,arfan-20-120-tabs.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
argan-oil-conditioner,ARGAN OIL CONDITIONER,36.00,yes,Beauty & Toiletries,argan-oil-conditioner.webp,NO,medium,consumer category: Beauty & Toiletries,,
argan-oil-hair-mask,ARGAN OIL HAIR MASK,25.00,no,Beauty & Toiletries,argan-oil-hair-mask.jpg,NO,medium,consumer category: Beauty & Toiletries,,
argan-oil-shampoo,ARGAN OIL SHAMPOO,38.00,yes,Beauty & Toiletries,argan-oil-shampoo.jpg,NO,high,general-sale: shampoo,,
ascovit-cee-syrup,ASCOVIT CEE SYRUP,16.00,yes,Vitamins & Supplements,ascovit-cee-syrup.jpg,YES,low,"REVIEW — dosage form, active not recognised",,
asmanol-tabs,ASMANOL TABS,2.00,yes,,asmanol-tabs.png,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
asnac-100,ASNAC 100,16.00,yes,,asnac-100.jpg,NO,low,REVIEW — no category and no dosage form,,
aspanol-syrup-200ml,ASPANOL SYRUP 200ML,26.00,yes,,aspanol-syrup-200ml.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
astonish-oven-and-cookware-paste,ASTONISH OVEN AND COOKWARE PASTE,45.00,yes,Other,astonish-oven-and-cookware-paste.jpg,NO,medium,consumer category: Other,,
atacand-16mg,ATACAND 16MG,448.00,yes,,atacand-16mg.jpg,YES,high,prescription-only active: atacand,,
atacand-8mg,ATACAND 8MG,462.00,yes,,atacand-8mg.jpg,YES,high,prescription-only active: atacand,,
atorvastatin-40mg,ATORVASTATIN 40MG,70.00,yes,,atorvastatin-40mg.jpg,YES,high,prescription-only active: atorvastat,,
atorvastatin-40mg-vega,ATORVASTATIN 40MG VEGA,45.00,yes,,atorvastatin-40mg-vega.jpg,YES,high,prescription-only active: atorvastat,,
augmentin-susp-228mg-5ml,AUGMENTIN SUSP 228MG/5ML,97.00,yes,,augmentin-susp-228mg-5ml.jpg,YES,high,prescription-only active: augmentin,,
avamys-nasal-spray,AVAMYS NASAL SPRAY,300.00,yes,,avamys-nasal-spray.jpg,NO,low,REVIEW — no category and no dosage form,,
axe-deo-spray-men-150ml,AXE DEO SPRAY MEN 150ML,34.00,yes,Beauty & Toiletries,axe-deo-spray-men-150ml.jpg,NO,medium,consumer category: Beauty & Toiletries,,
azilex-250mg-caps-6s,AZILEX 250MG CAPS 6'S,31.00,yes,,azilex-250mg-caps-6s.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
b-co-strong-30s-krka,B-CO STRONG 30S (KRKA),75.00,no,Vitamins & Supplements,b-co-strong-30s-krka.webp,NO,medium,consumer category: Vitamins & Supplements,,
b-co-tabs-pharmanova,B-CO TABS (PHARMANOVA),1.00,yes,,b-co-tabs-pharmanova.webp,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
badruf-cream,BADRUF CREAM,17.00,yes,Vitamins & Supplements,badruf-cream.jpg,NO,medium,consumer category: Vitamins & Supplements,,
baggage-tags,BAGGAGE TAGS,80.00,yes,Other,,NO,medium,consumer category: Other,,
balance-niancinamide-serum-15,BALANCE NIANCINAMIDE SERUM 15%,130.00,yes,Beauty & Toiletries,balance-niancinamide-serum-15.jpg,NO,medium,consumer category: Beauty & Toiletries,,
balance-vit-c-serum-3,BALANCE VIT C SERUM 3%,130.00,yes,Beauty & Toiletries,balance-vit-c-serum-3.jpg,NO,medium,consumer category: Beauty & Toiletries,,
basecam-caps,BASECAM CAPS,39.00,yes,,basecam-caps.png,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
basic-nutritio-vitamin-d-400iu-tabs-80s,BASIC NUTRITIO VITAMIN D 400IU TABS 80S,45.00,no,Vitamins & Supplements,basic-nutritio-vitamin-d-400iu-tabs-80s.jpg,NO,medium,general-sale active (vitamin) in a dosage form,,
basic-nutrition-omega-3-fish-oil-1000mg-30s,BASIC NUTRITION OMEGA 3 FISH OIL 1000MG 30S,69.00,yes,Vitamins & Supplements,basic-nutrition-omega-3-fish-oil-1000mg-30s.jpg,NO,medium,general-sale active (omega) in a dosage form,,
bbl-thermal-guard,BBL THERMAL GUARD,56.00,yes,Beauty & Toiletries,bbl-thermal-guard.jpg,NO,medium,consumer category: Beauty & Toiletries,,
beauty-and-co-collagen-powder-7s,BEAUTY AND CO COLLAGEN POWDER 7S,110.00,yes,Vitamins & Supplements,beauty-and-co-collagen-powder-7s.jpg,NO,medium,consumer category: Vitamins & Supplements,,
beauty-formula-glowing-serum-2-vit-c,BEAUTY FORMULA GLOWING SERUM 2% VIT C,70.00,yes,Beauty & Toiletries,beauty-formula-glowing-serum-2-vit-c.png,NO,medium,consumer category: Beauty & Toiletries,,
beauty-formula-gold-peel-off-facial-mask,BEAUTY FORMULA GOLD PEEL OFF FACIAL MASK,27.00,yes,Beauty & Toiletries,beauty-formula-gold-peel-off-facial-mask.jpg,NO,medium,consumer category: Beauty & Toiletries,,
beauty-formula-moisturiser,BEAUTY FORMULA MOISTURISER,36.00,yes,Beauty & Toiletries,beauty-formula-moisturiser.webp,NO,medium,consumer category: Beauty & Toiletries,,
beauty-formula-serum,BEAUTY FORMULA SERUM,42.00,yes,Beauty & Toiletries,beauty-formula-serum.jpg,NO,medium,consumer category: Beauty & Toiletries,,
beauty-formula-tonic-150ml,BEAUTY FORMULA TONIC 150ML,42.00,yes,Beauty & Toiletries,beauty-formula-tonic-150ml.jpg,NO,medium,consumer category: Beauty & Toiletries,,
beauty-formulas-facial-scrubs,BEAUTY FORMULAS FACIAL SCRUBS,38.00,yes,Beauty & Toiletries,beauty-formulas-facial-scrubs.webp,NO,medium,consumer category: Beauty & Toiletries,,
beauty-secrets-black-soap-142g-honey,BEAUTY SECRETS BLACK SOAP 142G HONEY,26.00,yes,Beauty & Toiletries,beauty-secrets-black-soap-142g-honey.png,NO,high,general-sale: soap,,
beauty-secrets-black-soap-142g-lemongrass,BEAUTY SECRETS BLACK SOAP 142G LEMONGRASS,22.00,yes,Beauty & Toiletries,beauty-secrets-black-soap-142g-lemongrass.webp,NO,high,general-sale: soap,,
beauty-secrets-black-soap-142g-turmeric,BEAUTY SECRETS BLACK SOAP 142G TURMERIC,25.00,yes,Beauty & Toiletries,beauty-secrets-black-soap-142g-turmeric.webp,NO,high,general-sale: soap,,
becoactin-tabs,BECOACTIN TABS,29.00,yes,,becoactin-tabs.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
beechams-cold-and-flu-suspension-5s,BEECHAMS COLD AND FLU SUSPENSION 5S,60.00,yes,,beechams-cold-and-flu-suspension-5s.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
bella-cocoa-lotion,BELLA COCOA LOTION,42.00,yes,Beauty & Toiletries,bella-cocoa-lotion.jpg,NO,high,general-sale: lotion,,
bella-cocoa-lotion-300ml-s-s,BELLA COCOA LOTION 300ML S/S,19.00,yes,Beauty & Toiletries,bella-cocoa-lotion-300ml-s-s.png,NO,high,general-sale: lotion,,
bella-cough-syrup,BELLA COUGH SYRUP,19.00,yes,,bella-cough-syrup.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
bells-castor-oil-70ml,BELLS CASTOR OIL 70ML,56.00,no,Vitamins & Supplements,bells-castor-oil-70ml.jpg,NO,medium,consumer category: Vitamins & Supplements,,
bells-olive-oil,BELLS OLIVE OIL,12.00,yes,Other,bells-olive-oil.jpg,NO,medium,consumer category: Other,,
bells-teething-mixture,BELLS TEETHING MIXTURE,68.00,yes,,bells-teething-mixture.jpg,NO,low,REVIEW — no category and no dosage form,,
bells-vitamin-c-syrup,BELLS VITAMIN C SYRUP,65.00,yes,Vitamins & Supplements,bells-vitamin-c-syrup.jpg,NO,medium,general-sale active (vitamin) in a dosage form,,
bendro-2-5mg-uk,BENDRO 2.5MG UK,7.00,yes,,bendro-2-5mg-uk.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
bendroflu-2-5mg-tabs-500s-ecl,BENDROFLU 2.5MG TABS 500S (ECL),2.00,yes,,bendroflu-2-5mg-tabs-500s-ecl.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
bendroflu-5mg-uk,BENDROFLU 5MG UK,12.00,yes,,bendroflu-5mg-uk.png,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
bendrofluazide-tabs-5mg-500s,BENDROFLUAZIDE TABS 5MG 500S,2.50,yes,,,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
benylin-4-flu-syrup-100ml,BENYLIN 4 FLU SYRUP 100ML,90.00,yes,,benylin-4-flu-syrup-100ml.webp,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
benylin-chesty-non-drowsy-cough-syr-150ml,BENYLIN CHESTY NON DROWSY COUGH SYR 150ML,143.00,yes,,benylin-chesty-non-drowsy-cough-syr-150ml.jpg,NO,low,REVIEW — no category and no dosage form,,
benylin-original-syrup-100mls,BENYLIN ORIGINAL SYRUP 100MLS,135.00,yes,,benylin-original-syrup-100mls.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
berries-weekend-pink-perfume,BERRIES WEEKEND PINK PERFUME,138.00,yes,Beauty & Toiletries | Other,berries-weekend-pink-perfume.jpg,NO,high,general-sale: perfume,,
berries-weekend-violet-perfume,BERRIES WEEKEND VIOLET PERFUME,108.00,yes,Beauty & Toiletries,berries-weekend-violet-perfume.webp,NO,high,general-sale: perfume,,
bg-glutamin-plus-tabs-20s,BG-GLUTAMIN PLUS TABS 20S,34.00,yes,Vitamins & Supplements,bg-glutamin-plus-tabs-20s.jpg,YES,low,"REVIEW — dosage form, active not recognised",,
bic-shaving-stick,BIC SHAVING STICK,15.00,yes,Beauty & Toiletries,bic-shaving-stick.png,NO,medium,consumer category: Beauty & Toiletries,,
big-3-in-1-water-bottle,BIG 3 IN 1 WATER BOTTLE,75.00,yes,Other,big-3-in-1-water-bottle.jpg,NO,medium,consumer category: Other,,
bio-oil-125ml,BIO OIL 125ML,85.00,yes,Beauty & Toiletries,bio-oil-125ml.jpg,NO,medium,consumer category: Beauty & Toiletries,,
bio-oil,BIO OIL 200ML,110.00,yes,Beauty & Toiletries | Feminine Care,bio-oil.webp,NO,medium,consumer category: Beauty & Toiletries,,
bio-oil-25ml,BIO OIL 25ML,26.00,yes,Beauty & Toiletries,bio-oil-25ml.webp,NO,medium,consumer category: Beauty & Toiletries,,
bio-oil-60ml,BIO OIL 60ML,59.00,yes,Beauty & Toiletries,bio-oil-60ml.webp,NO,medium,consumer category: Beauty & Toiletries,,
biovene-spf-50-serum,BIOVENE SPF 50 SERUM,105.00,yes,Beauty & Toiletries,biovene-spf-50-serum.jpg,NO,medium,consumer category: Beauty & Toiletries,,
bird-camphor,BIRD CAMPHOR,9.00,yes,Other,bird-camphor.jpg,NO,medium,consumer category: Other,,
bisoprolol-5mg-tabs-sandox,BISOPROLOL 5MG TABS SANDOX,1.00,yes,,bisoprolol-5mg-tabs-sandox.webp,YES,high,prescription-only active: bisoprol,,
blue-diamond-air-freshener,BLUE DIAMOND AIR FRESHENER,15.00,yes,Other,blue-diamond-air-freshener.png,NO,medium,consumer category: Other,,
blue-magic-pomade,BLUE MAGIC POMADE,84.00,yes,Beauty & Toiletries,blue-magic-pomade.jpg,NO,medium,consumer category: Beauty & Toiletries,,
blue-polar-ice-gel-227g,BLUE POLAR ICE GEL 227G,42.00,yes,,blue-polar-ice-gel-227g.jpg,NO,low,REVIEW — no category and no dosage form,,
bod-man-spray,BOD MAN SPRAY,70.00,yes,Beauty & Toiletries,bod-man-spray.jpg,NO,medium,consumer category: Beauty & Toiletries,,
body-philosophy-sanitizer,BODY PHILOSOPHY SANITIZER,7.00,yes,Other,body-philosophy-sanitizer.webp,NO,medium,consumer category: Other,,
bonaplex-syrup-250ml,BONAPLEX SYRUP 250ML,65.00,yes,Vitamins & Supplements,bonaplex-syrup-250ml.jpg,YES,low,"REVIEW — dosage form, active not recognised",,
bondi-sands-s-s,BONDI SANDS SUNSCREEN LOTION,199.00,yes,Beauty & Toiletries,bondi-sands-s-s.jpg,NO,high,general-sale: lotion,,
bonjela-junior-gel,BONJELA ADULT  GEL,135.00,yes,,bonjela-junior-gel.jpg,NO,low,REVIEW — no category and no dosage form,,
bonnisan-syrup,BONNISAN SYRUP,59.00,yes,,bonnisan-syrup.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
borges-extra-virgin-olive-oil-500ml,BORGES EXTRA VIRGIN OLIVE OIL 500ML,200.00,no,Other,borges-extra-virgin-olive-oil-500ml.jpg,NO,medium,consumer category: Other,,
borges-olive-oil-125ml,BORGES OLIVE OIL 125ML,59.00,yes,Other,borges-olive-oil-125ml.jpg,NO,medium,consumer category: Other,,
boric-life-boric-acid-vaginal-pessary-600mg-30s,BORIC LIFE BORIC ACID VAGINAL PESSARY 600MG 30'S,288.00,yes,Vitamins & Supplements,boric-life-boric-acid-vaginal-pessary-600mg-30s.webp,YES,low,"REVIEW — dosage form, active not recognised",,
bragg-vinegar-b-s,BRAGG VINEGAR B/S,195.00,yes,Other,bragg-vinegar-b-s.jpg,NO,medium,consumer category: Other,,
bragg-vinegar-s-s,BRAGG VINEGAR S/S,130.00,yes,Other,bragg-vinegar-s-s.jpg,NO,medium,consumer category: Other,,
breast-pad-36s,BREAST PAD 36S,55.00,yes,Feminine Care,breast-pad-36s.jpg,NO,medium,consumer category: Feminine Care,,
bref-rim-deluxe-block-50g,BREF RIM DELUXE BLOCK 50G,48.00,yes,Other,bref-rim-deluxe-block-50g.jpg,NO,medium,consumer category: Other,,
brown-gold,BROWN GOLD,42.00,yes,Other,brown-gold.webp,NO,medium,consumer category: Other,,
brown-sugar-b-s,BROWN SUGAR B/S,22.00,yes,Other,brown-sugar-b-s.png,NO,medium,consumer category: Other,,
brut-deo-spray,BRUT DEO SPRAY,40.00,yes,Beauty & Toiletries,brut-deo-spray.webp,NO,medium,consumer category: Beauty & Toiletries,,
bubble-hydrogel-under-eye-patches,BUBBLE HYDROGEL UNDER EYE PATCHES,30.00,yes,Beauty & Toiletries,bubble-hydrogel-under-eye-patches.webp,NO,medium,consumer category: Beauty & Toiletries,,
buscomed-tab-10mg,BUSCOMED TAB 10MG,7.00,yes,,buscomed-tab-10mg.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
c-press-eye-drop,C-PRESS EYE DROP,85.00,yes,,c-press-eye-drop.jpg,NO,low,REVIEW — no category and no dosage form,,
cafhelp-tongue-cleaner,Cafhelp Tongue Cleaner,90.00,no,Beauty & Toiletries | Other,cafhelp-tongue-cleaner.jpg,NO,medium,consumer category: Beauty & Toiletries,,
calamine-lotion-200ml-care,CALAMINE LOTION 200ML (CARE),63.00,yes,Beauty & Toiletries,calamine-lotion-200ml-care.jpg,NO,high,general-sale: lotion,,
calamine-ointment-40g-dannex,CALAMINE OINTMENT 40G (DANNEX),18.00,yes,,calamine-ointment-40g-dannex.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
calcium-d3-effervescent-tabs,CALCIUM + D3 EFFERVESCENT TABS,104.00,no,Vitamins & Supplements,calcium-d3-effervescent-tabs.jpg,NO,medium,general-sale active (calcium) in a dosage form,,
calcury-tabs,CALCURY TABS,64.00,yes,,calcury-tabs.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
calpol-2-susp,CALPOL 2+ SUSP,120.00,yes,,calpol-2-susp.webp,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
camel-125ml,CAMEL 125ML,20.00,yes,Beauty & Toiletries,camel-125ml.jpg,NO,medium,consumer category: Beauty & Toiletries,,
camel-500ml,CAMEL 500ML,78.00,yes,Beauty & Toiletries,camel-500ml.webp,NO,medium,consumer category: Beauty & Toiletries,,
camel-bar-soap,CAMEL BAR SOAP,15.00,yes,Other,camel-bar-soap.png,NO,high,general-sale: soap,,
candibiotic-ear-drop,CANDIBIOTIC EAR DROP,72.00,yes,,candibiotic-ear-drop.webp,NO,low,REVIEW — no category and no dosage form,,
cantu-conditioner,CANTU CONDITIONER,78.00,yes,Beauty & Toiletries,cantu-conditioner.jpg,NO,medium,consumer category: Beauty & Toiletries,,
cantu-shampoo,CANTU SHAMPOO,88.00,yes,Beauty & Toiletries,cantu-shampoo.jpg,NO,high,general-sale: shampoo,,
carbimazole-5mg-tabs-100s,CARBIMAZOLE 5MG TABS 100'S,18.00,yes,,carbimazole-5mg-tabs-100s.jpg,YES,high,prescription-only active: carbimazol,,
care-olive-ear-drop-10ml,CARE OLIVE EAR DROP 10ML,65.00,yes,,care-olive-ear-drop-10ml.jpg,NO,low,REVIEW — no category and no dosage form,,
carvedilol-12-5mg-coryol,CARVEDILOL 12.5MG (CORYOL),6.00,no,,carvedilol-12-5mg-coryol.jpg,YES,high,prescription-only active: carvedilol,,
carvedilol-6-25mg-coryol,CARVEDILOL 6.25MG (CORYOL),5.00,yes,,carvedilol-6-25mg-coryol.jpg,YES,high,prescription-only active: carvedilol,,
catheter-silicone-2-way-18,CATHETER SILICONE 2-WAY 18,30.00,yes,Other,catheter-silicone-2-way-18.jpg,NO,medium,consumer category: Other,,
ceptic-adapter-kits,Ceptic adapter kits,500.00,yes,Other,ceptic-adapter-kits.jpg,NO,medium,consumer category: Other,,
cerave-blemish-control-cleanser,CERAVE BLEMISH CONTROL CLEANSER,192.00,yes,Beauty & Toiletries,cerave-blemish-control-cleanser.png,NO,medium,consumer category: Beauty & Toiletries,,
cerave-foaming-cleansers-236ml,CERAVE FOAMING CLEANSERS 236ML,258.00,yes,Beauty & Toiletries,cerave-foaming-cleansers-236ml.jpg,NO,medium,consumer category: Beauty & Toiletries,,
cerave-hydrating-mineral-sunscreen,CERAVE HYDRATING  MINERAL SUNSCREEN,200.00,yes,Beauty & Toiletries,cerave-hydrating-mineral-sunscreen.jpg,NO,medium,consumer category: Beauty & Toiletries,,
cerave-moisturizing-body-cream-340g,CERAVE MOISTURIZING BODY CREAM 340G,300.00,yes,Beauty & Toiletries,cerave-moisturizing-body-cream-340g.jpg,NO,medium,consumer category: Beauty & Toiletries,,
